base,k,std,low,avg,high
BOSSbase,1,0.7232641523121323,4.534000736002995,4.6757579051013485,4.817515074199702
BOSSbase,2,0.6572846354236775,4.5894330603792115,4.718258481785266,4.847083903191321
BOSSbase,3,0.6823909423756477,4.646098714384448,4.779844881535537,4.913591048686626
BOSSbase,4,0.7246238281392896,4.810385247563877,4.952408908227633,5.0944325688913885
BOSSbase,5,0.8442104978148363,5.013383806594832,5.178846023837,5.344308241079168
BOSSbase,6,1.3276679482139564,5.704096999158544,5.964315135561089,6.224533271963633
BOSSbase,7,2.4903222390952857,7.038925246841413,7.527019437087509,8.015113627333607
BOSSbase,8,2.374524190867777,10.897415997717998,11.362814187545201,11.828212377372404
medical,1,1.5653267065679557,4.244822023691586,4.551620420830118,4.8584188179686505
medical,2,1.089215599625424,5.119600109034931,5.333082443873545,5.54656477871216
medical,3,1.2182404230631643,5.926951517292105,6.165722252856068,6.4044929884200315
medical,4,1.1359860027886912,6.506026920038168,6.728676085458415,6.951325250878662
medical,5,1.590268248863816,7.256466035584041,7.5681528851883915,7.879839734792742
medical,6,1.772550930830717,8.21036176534591,8.557775364145114,8.905188962944317
medical,7,2.203876511941226,7.795020787386347,8.226972646712447,8.658924506038547
medical,8,2.1432294830723397,11.261188485599739,11.681253745681017,12.101319005762296
portrait,1,0.625273632239108,4.879811138408371,5.002362518474293,5.124913898540214
portrait,2,0.6378114794824974,4.819490953803896,4.944499706775869,5.069508459747842
portrait,3,0.7068108648550592,4.840808383558758,4.979340767570196,5.117873151581635
portrait,4,0.8365244704392717,4.9003968878181,5.0643526713750235,5.228308454931947
portrait,5,1.112568679708581,4.838660684639148,5.056720139070559,5.27477959350197
portrait,6,1.5454112103069217,5.158470168729536,5.461365200324335,5.764260231919134
portrait,7,2.218716437315151,6.328247880939891,6.763108312194951,7.19796874345001
portrait,8,2.074663218575306,10.402919401754403,10.809545920927984,11.216172440101566
